,molecule_chembl_id,molecule_pref_name,canonical_smiles,pchembl_value,standard_type,standard_relation,standard_value,standard_units,ligand_efficiency,assay_type
121,CHEMBL294271,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,5.67,IC50,=,2165.0,nM,,F
122,CHEMBL294271,,Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(Nc3cccc4ccn(C)c34)CC2)CC1,,IC50,,,nM,,F
123,CHEMBL61373,,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.55,IC50,=,2.8,nM,,F
124,CHEMBL61373,,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.10,IC50,=,7.9,nM,,F
125,CHEMBL61373,,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.52,IC50,=,30.0,nM,,F
126,CHEMBL61373,,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,7.61,IC50,=,24.6,nM,,F
127,CHEMBL61373,,Cc1nc(-c2ccncc2)nc(C)c1C(=O)N1CCC(C)(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.10,IC50,=,7.9,nM,,F
128,CHEMBL58109,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,8.05,IC50,=,9.0,nM,,F
129,CHEMBL58109,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,6.93,IC50,=,117.0,nM,,F
130,CHEMBL58109,,Cc1cc[n+]([O-])c(C)c1C(=O)N1CCC(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CC1,6.90,IC50,=,127.0,nM,,F
131,CHEMBL293900,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3[nH]ccc23)CC1,8.00,IC50,=,9.9,nM,,F
132,CHEMBL293900,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3[nH]ccc23)CC1,7.51,IC50,=,31.0,nM,,F
133,CHEMBL293900,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3[nH]ccc23)CC1,6.99,IC50,=,102.0,nM,,F
134,CHEMBL293900,,CC1(N2CCC(N(c3ccccc3)c3ccccc3)CC2)CCN(C(=O)c2cccc3[nH]ccc23)CC1,,IC50,,,nM,,F
135,CHEMBL60589,,Cc1cc(C)c(S(=O)(=O)N2CCC(C)(N3CCC(N(c4ccccc4)c4ccccc4)CC3)CC2)c(C)c1,7.39,IC50,=,41.0,nM,,F
136,CHEMBL60589,,Cc1cc(C)c(S(=O)(=O)N2CCC(C)(N3CCC(N(c4ccccc4)c4ccccc4)CC3)CC2)c(C)c1,,IC50,,,nM,,F
137,CHEMBL60589,,Cc1cc(C)c(S(=O)(=O)N2CCC(C)(N3CCC(N(c4ccccc4)c4ccccc4)CC3)CC2)c(C)c1,,IC50,,,nM,,F
